INI_FILE_NAME,PROJECT_NAME,SEQ_NAME,JOB_SEQ_NAME,FINAL_JOB_NAME,TWS_JOB_NAME,TWS_BATCH_NAME, ,JOB_STREAM_TYPE
STB_T_Firbtrd4_Clt_Capl_Load,CBRT2,,STB_T_Firbtrd4_Clt_Capl_Load,STB_T_Firbtrd4_Clt_Capl_Load,STB0025,STB199SC_STG2,,
STB_T_Firbtrd4_Clt_Capl_Pre,CBRT2,,RRM_STB_PreProcess,RRM_STB_PreProcess,STB0022,STB199SC_STG2,,
STB_T_Firbtrd4_Clt_Capl_Rec,CBRT2,,RRM_STB_Reconciliation,RRM_STB_Reconciliation,STB0024,STB199SC_STG2,,
STB_T_Firbtrd4_Clt_Capl_SNP_Load,HDS2,,STB_T_Firbtrd4_Clt_Capl_SNP_Load,STB_T_Firbtrd4_Clt_Capl_SNP_Load,STB0043,STB199SC_HDS,,
STB_T_Firbtrd5_Clt_Capl_Extract,CBRT2,,STB_T_Firbtrd5_Clt_Capl_Extract,STB_T_Firbtrd5_Clt_Capl_Extract,STB0027,STB199SC_STG4,,
STB_T_Firbtrd5_Clt_Capl_Load,CBRT2,,STB_T_Firbtrd5_Clt_Capl_Load,STB_T_Firbtrd5_Clt_Capl_Load,STB0029,STB199SC_STG4,,
STB_T_Firbtrd5_Clt_Capl_Pre,CBRT2,,RRM_STB_PreProcess,RRM_STB_PreProcess,STB0026,STB199SC_STG4,,
STB_T_Firbtrd5_Clt_Capl_Rec,CBRT2,,RRM_STB_Reconciliation,RRM_STB_Reconciliation,STB0028,STB199SC_STG4,,
STB_T_Firbtrd5_Clt_Capl_SNP_Load,HDS2,,STB_T_Firbtrd5_Clt_Capl_SNP_Load,STB_T_Firbtrd5_Clt_Capl_SNP_Load,STB0044,STB199SC_HDS,,
STB_T_Firbtrd6_Clt_Capl_Extract,CBRT2,,STB_T_Firbtrd6_Clt_Capl_Extract,STB_T_Firbtrd6_Clt_Capl_Extract,STB0031,STB199SC_STG4,,
STB_T_Firbtrd6_Clt_Capl_Load,CBRT2,,STB_T_Firbtrd6_Clt_Capl_Load,STB_T_Firbtrd6_Clt_Capl_Load,STB0033,STB199SC_STG4,,
STB_T_Firbtrd6_Clt_Capl_Pre,CBRT2,,RRM_STB_PreProcess,RRM_STB_PreProcess,STB0030,STB199SC_STG4,,
STB_T_Firbtrd6_Clt_Capl_Rec,CBRT2,,RRM_STB_Reconciliation,RRM_STB_Reconciliation,STB0032,STB199SC_STG4,,
STB_T_Firbtrd6_Clt_Capl_SNP_Load,HDS2,,STB_T_Firbtrd6_Clt_Capl_SNP_Load,STB_T_Firbtrd6_Clt_Capl_SNP_Load,STB0045,STB199SC_HDS,,
STB_T_P_Hierar_Clt_Coml_Extract,CBRT2,,STB_T_P_Hierar_Clt_Coml_Extract,STB_T_P_Hierar_Clt_Coml_Extract,STB0035,STB199SC_STG2,,
STB_T_P_Hierar_Clt_Coml_Load,CBRT2,,STB_T_P_Hierar_Clt_Coml_Load,STB_T_P_Hierar_Clt_Coml_Load,STB0037,STB199SC_STG2,,
STB_T_P_Hierar_Clt_Coml_Pre,CBRT2,,RRM_STB_PreProcess,RRM_STB_PreProcess,STB0034,STB199SC_STG2,,
